window_id,window_start,cryptocurrency,tweet_count,mean_sentiment,sentiment_std,positive_ratio,negative_ratio,synthetic_count,policy_action,action_taken,oracle_triggered,agent,dataset
BTC_20221130T090000Z,2022-11-30 09:00:00+00:00,BTC,3,0.147968896664679,0.15261596656133397,0.0,0.0,0,BUY,BUY,False,deterministic,jitter_15
BTC_20221130T090500Z,2022-11-30 09:05:00+00:00,BTC,26,0.06824574784304087,0.21443187163830224,0.07692307692307693,0.0,0,BUY,BUY,False,deterministic,jitter_15
BTC_20221130T091000Z,2022-11-30 09:10:00+00:00,BTC,62,0.044378462472870465,0.2637684057332051,0.08064516129032258,0.03225806451612903,0,BUY,BUY,False,deterministic,jitter_15
BTC_20221130T091500Z,2022-11-30 09:15:00+00:00,BTC,106,0.019189364030816638,0.2447333683994919,0.05660377358490566,0.04716981132075472,0,HOLD,HOLD,False,deterministic,jitter_15
BTC_20221130T092000Z,2022-11-30 09:20:00+00:00,BTC,122,0.043489332387193304,0.20631908977428817,0.06557377049180328,0.00819672131147541,0,BUY,BUY,False,deterministic,jitter_15
BTC_20221130T092500Z,2022-11-30 09:25:00+00:00,BTC,124,0.007766343180030095,0.25911654827302283,0.04838709677419355,0.04838709677419355,0,HOLD,HOLD,False,deterministic,jitter_15
BTC_20221130T093000Z,2022-11-30 09:30:00+00:00,BTC,146,0.04052388868358444,0.2775997175019657,0.0821917808219178,0.03424657534246575,0,BUY,BUY,False,deterministic,jitter_15
BTC_20221130T093500Z,2022-11-30 09:35:00+00:00,BTC,171,-0.0044014863778799,0.2422907006626487,0.023391812865497075,0.05263157894736842,0,HOLD,HOLD,False,deterministic,jitter_15
BTC_20221130T094000Z,2022-11-30 09:40:00+00:00,BTC,161,0.020071512840179176,0.22853587579632584,0.049689440993788817,0.031055900621118012,0,HOLD,HOLD,False,deterministic,jitter_15
BTC_20221130T094500Z,2022-11-30 09:45:00+00:00,BTC,133,0.024970640673449163,0.24789537305581308,0.03759398496240601,0.03759398496240601,0,HOLD,HOLD,False,deterministic,jitter_15
BTC_20221130T095000Z,2022-11-30 09:50:00+00:00,BTC,169,0.04100631519094021,0.17943127368629352,0.03550295857988166,0.01775147928994083,0,BUY,BUY,False,deterministic,jitter_15
BTC_20221130T095500Z,2022-11-30 09:55:00+00:00,BTC,173,0.012043918991687488,0.2134896732506601,0.04046242774566474,0.023121387283236993,0,HOLD,HOLD,False,deterministic,jitter_15
BTC_20221130T100000Z,2022-11-30 10:00:00+00:00,BTC,168,0.04244849859692509,0.1552447169479023,0.02976190476190476,0.011904761904761904,0,BUY,BUY,False,deterministic,jitter_15
BTC_20221130T100500Z,2022-11-30 10:05:00+00:00,BTC,147,0.033429300684963345,0.22068095556020847,0.04081632653061224,0.02040816326530612,0,HOLD,HOLD,False,deterministic,jitter_15
BTC_20221130T101000Z,2022-11-30 10:10:00+00:00,BTC,159,0.010076367571575076,0.22860208551997951,0.03773584905660377,0.0440251572327044,0,HOLD,HOLD,False,deterministic,jitter_15
BTC_20221130T101500Z,2022-11-30 10:15:00+00:00,BTC,156,-0.0009840476111723877,0.23195746694139238,0.019230769230769232,0.05128205128205128,0,HOLD,HOLD,False,deterministic,jitter_15
BTC_20221130T102000Z,2022-11-30 10:20:00+00:00,BTC,152,0.04387217902235294,0.19696528543947942,0.06578947368421052,0.019736842105263157,0,BUY,BUY,False,deterministic,jitter_15
BTC_20221130T102500Z,2022-11-30 10:25:00+00:00,BTC,150,-0.00743406431128583,0.2752188543340077,0.04666666666666667,0.06666666666666667,0,HOLD,HOLD,False,deterministic,jitter_15
BTC_20221130T103000Z,2022-11-30 10:30:00+00:00,BTC,156,0.021770682729159788,0.22623803112453877,0.038461538461538464,0.03205128205128205,0,HOLD,HOLD,False,deterministic,jitter_15
BTC_20221130T103500Z,2022-11-30 10:35:00+00:00,BTC,165,0.020159798245312586,0.19271834016857842,0.030303030303030304,0.012121212121212121,0,HOLD,HOLD,False,deterministic,jitter_15
BTC_20221130T104000Z,2022-11-30 10:40:00+00:00,BTC,145,0.008484950134980265,0.2514797026935519,0.05517241379310345,0.041379310344827586,0,HOLD,HOLD,False,deterministic,jitter_15
BTC_20221130T104500Z,2022-11-30 10:45:00+00:00,BTC,178,0.02036743443145343,0.26007164637022745,0.06741573033707865,0.056179775280898875,0,HOLD,HOLD,False,deterministic,jitter_15
BTC_20221130T105000Z,2022-11-30 10:50:00+00:00,BTC,152,0.004386646084879559,0.19545276337330367,0.02631578947368421,0.02631578947368421,0,HOLD,HOLD,False,deterministic,jitter_15
BTC_20221130T105500Z,2022-11-30 10:55:00+00:00,BTC,179,0.016863651245874058,0.22801148909772595,0.05027932960893855,0.0335195530726257,0,HOLD,HOLD,False,deterministic,jitter_15
BTC_20221130T110000Z,2022-11-30 11:00:00+00:00,BTC,179,0.02310709452110878,0.19156667577407355,0.0335195530726257,0.027932960893854747,0,HOLD,HOLD,False,deterministic,jitter_15
BTC_20221130T110500Z,2022-11-30 11:05:00+00:00,BTC,185,0.008791454579379103,0.24054745437617372,0.043243243243243246,0.032432432432432434,0,HOLD,HOLD,False,deterministic,jitter_15
